n_neighbors,n_components,min_dist,min_cluster_size,min_samples,silhouette,num_topics
15,10,0.0,10,15,0.006664751097559929,598
15,10,0.1,10,25,0.006527165416628122,342
10,5,0.1,30,35,0.006514270789921284,248
10,15,0.0,10,25,0.006492112297564745,389
15,5,0.1,30,25,0.00648830970749259,281
30,5,0.1,10,15,0.006468094419687986,465
30,5,0.3,50,15,0.0064445012249052525,146
10,15,0.3,50,15,0.006430024281144142,159
15,15,0.0,10,35,0.006365724373608828,298
10,5,0.3,50,25,0.006362115498632193,147
15,5,0.0,10,35,0.006354822777211666,298
10,5,0.3,50,15,0.006324405316263437,165
10,5,0.0,10,35,0.006239438895136118,313
30,10,0.3,50,25,0.006231643259525299,140
10,10,0.1,30,25,0.006034425459802151,299
30,5,0.0,10,35,0.005470728036016226,272
15,5,0.1,30,35,0.005284534767270088,245
30,15,0.1,10,35,0.005244631320238113,239
15,15,0.3,50,35,0.0052373576909303665,135
30,15,0.3,30,35,0.005148007068783045,172
10,10,0.0,10,15,0.005053336266428232,641
10,15,0.3,100,15,0.0049146367236971855,82
10,5,0.3,100,15,0.00478224316611886,90
30,15,0.3,50,15,0.0047530787996947765,146
30,15,0.3,50,25,0.004713564179837704,138
15,10,0.3,50,25,0.004613442346453667,139
30,10,0.3,100,25,0.004507751204073429,74
30,10,0.3,50,35,0.004487323109060526,133
30,10,0.3,100,15,0.004450302571058273,78
10,5,0.0,10,15,0.004417119547724724,653
10,5,0.3,50,35,0.004252423066645861,145
15,5,0.3,50,25,0.004210938233882189,141
15,5,0.1,10,25,0.004175689537078142,351
15,10,0.3,50,15,0.004128065891563892,150
30,5,0.3,50,25,0.004022435750812292,136
10,10,0.3,100,15,0.003945635166019201,84
10,5,0.3,100,25,0.003862772136926651,85
30,10,0.3,30,35,0.003842330537736416,176
30,10,0.3,30,15,0.0036528483033180237,229
15,15,0.3,50,15,0.003607760416343808,152
30,15,0.3,50,35,0.003601549658924341,134
15,15,0.3,50,25,0.0035848859697580338,142
30,15,0.3,100,15,0.0035705764312297106,75
15,10,0.3,50,35,0.003557441756129265,139
15,5,0.3,50,35,0.0035089922603219748,139
15,15,0.3,100,25,0.0034577150363475084,78
10,10,0.3,50,15,0.0034431666135787964,167
15,10,0.1,10,15,0.003355117281898856,540
15,5,0.1,10,15,0.0033497605472803116,523
30,10,0.3,100,35,0.0033030780032277107,74
30,15,0.3,100,25,0.0033025036100298166,77
15,15,0.1,10,25,0.0032502291724085808,352
10,15,0.3,50,35,0.0031675524078309536,139
10,15,0.3,50,25,0.0029889605939388275,145
10,10,0.3,50,25,0.00296726799570024,152
15,10,0.3,100,15,0.0027105987537652254,80
15,15,0.3,100,15,0.002702342113479972,82
30,10,0.3,30,25,0.0026522348634898663,213
10,5,0.1,10,35,0.0022762995213270187,279
15,10,0.3,30,35,0.0021646483801305294,180
15,10,0.3,100,25,0.0021040444262325764,76
30,5,0.3,30,15,0.0019847990479320288,230
15,10,0.1,10,35,0.001972718397155404,265
30,15,0.3,30,25,0.0019271086202934384,210
15,5,0.3,50,15,0.0019113962771371007,159
10,15,0.3,100,35,0.0018135084537789226,77
15,5,0.3,100,15,0.0016518871998414397,87
15,15,0.1,10,35,0.0015619304031133652,257
30,5,0.3,100,15,0.0015229824930429459,78
10,15,0.1,10,35,0.001466324320062995,272
10,10,0.1,10,35,0.0014249057276174426,271
10,15,0.3,100,25,0.0014044378185644746,80
30,5,0.3,50,35,0.0013358781579881907,136
30,15,0.3,100,35,0.001329601276665926,74
10,10,0.3,30,15,0.0012223062803968787,248
10,5,0.3,30,15,0.00121846713591367,243
10,10,0.3,100,25,0.0011743009090423584,81
10,15,0.1,10,25,0.0011540978448465466,367
10,5,0.3,100,35,0.001058021211065352,86
10,10,0.3,50,35,0.001009759376756847,139
15,15,0.3,100,35,0.000976920360699296,76
10,5,0.1,10,25,0.0009262451203539968,375
15,15,0.3,30,35,0.0008618375286459923,178
15,5,0.1,10,35,0.0006888877251185477,271
30,5,0.3,30,35,0.000614906835835427,181
10,10,0.1,10,25,0.0004740007861983031,361
15,5,0.3,100,25,0.0004702569858636707,80
15,10,0.3,100,35,0.000469124672235921,75
30,15,0.3,30,15,0.0003797414537984878,230
10,5,0.3,30,25,0.0003786068700719625,226
10,15,0.1,10,15,0.00033787329448387027,574
10,10,0.3,100,35,0.00031744144507683814,78
10,15,0.3,30,15,0.0002534015802666545,251
30,5,0.3,30,25,0.00019326644542161375,210
30,5,0.3,10,15,6.71456873533316e-05,373
30,15,0.3,10,35,-5.546655756916152e-06,193
15,5,0.3,30,25,-0.0002092422073474154,206
15,15,0.3,30,15,-0.0002745610836427659,238
10,5,0.3,30,35,-0.0003026223857887089,185
10,15,0.3,30,35,-0.0003899420553352684,187
15,5,0.3,30,15,-0.0005869260639883578,239
10,15,0.3,30,25,-0.0007188543095253408,224
30,5,0.3,100,25,-0.0009327862644568086,77
15,5,0.3,30,35,-0.0010691210627555847,177
30,15,0.3,10,25,-0.001278555835597217,266
30,5,0.3,100,35,-0.0012939342996105552,73
10,10,0.1,10,15,-0.001395127852447331,587
30,5,0.3,10,35,-0.001427010982297361,197
15,5,0.3,100,35,-0.0015201164642348886,80
15,10,0.3,30,25,-0.0017551053315401077,222
10,10,0.3,30,25,-0.002010682597756386,227
30,10,0.3,10,15,-0.0020664355251938105,390
10,5,0.1,10,15,-0.002192470245063305,590
30,10,0.3,10,35,-0.0028505069203674793,198
15,10,0.3,30,15,-0.0029921645764261484,243
15,15,0.3,30,25,-0.003015505615621805,223
15,5,0.3,10,25,-0.0032195395324379206,279
30,10,0.3,10,25,-0.0032289260998368263,268
30,5,0.3,10,25,-0.0035395638551563025,262
15,10,0.3,10,35,-0.0041495864279568195,208
10,10,0.3,30,35,-0.00469854986295104,194
15,15,0.3,10,35,-0.0051931655034422874,209
15,15,0.3,10,15,-0.005529860965907574,441
15,5,0.3,10,35,-0.005920599214732647,207
15,10,0.3,10,25,-0.006038579624146223,279
15,15,0.3,10,25,-0.006322489120066166,286
15,10,0.3,10,15,-0.006454368121922016,449
10,5,0.3,10,35,-0.0066837770864367485,218
30,15,0.3,10,15,-0.0071705603040754795,402
10,10,0.3,10,35,-0.007583961356431246,223
10,15,0.3,10,15,-0.007622512988746166,469
10,15,0.3,10,35,-0.007824242115020752,224
15,5,0.3,10,15,-0.008590021170675755,422
10,10,0.3,10,15,-0.008737794123589993,462
